scenario,day,demand_mod,supply_mod,lead_mod,price_sensitivity,events,orders_placed,fulfilled,backordered,stockout,fill_rate_pct
calm-market,1,1.0,1.0,1.0,normal,normal,9,7,2,0,77.8
calm-market,2,1.0,1.0,1.0,normal,normal,6,6,0,0,100.0
calm-market,3,1.0,1.0,1.0,normal,normal,4,4,0,0,100.0
calm-market,4,1.0,1.0,1.0,normal,normal,6,5,1,0,83.3
calm-market,5,1.0,1.0,1.0,normal,normal,5,3,2,0,60.0
calm-market,6,1.0,1.0,1.0,normal,normal,4,2,2,0,50.0
calm-market,7,1.0,1.0,1.0,normal,normal,0,0,0,0,0
calm-market,8,1.0,1.0,1.0,normal,normal,4,4,0,0,100.0
calm-market,9,1.0,1.0,1.0,normal,normal,2,2,0,0,100.0
calm-market,10,1.0,1.0,1.0,normal,normal,0,0,0,0,0
calm-market,11,1.0,1.0,1.0,normal,normal,2,2,0,0,100.0
calm-market,12,1.0,1.0,1.0,normal,normal,1,1,0,0,100.0
calm-market,13,1.0,1.0,1.0,normal,normal,1,1,0,0,100.0
calm-market,14,1.0,1.0,1.0,normal,normal,0,0,0,0,0
calm-market,15,1.0,1.0,1.0,normal,normal,1,1,0,0,100.0
